"","utc","Location","PM25","O3","Cases"
"207",2020-08-09,"Greenville",5.64285714285714,0.0305714285714286,10916
"208",2020-08-10,"Greenville",8.94736842105263,0.0275714285714286,11001
"209",2020-08-11,"Greenville",11.1,0.0261666666666667,11028
"210",2020-08-12,"Greenville",6.27272727272727,0.0284545454545455,11109
"211",2020-08-13,"Greenville",5.28571428571429,0.0242,11109
"212",2020-08-14,"Greenville",4.04761904761905,0.0217142857142857,11186
"213",2020-08-15,"Greenville",4.16666666666667,0.0212941176470588,11238
"214",2020-08-16,"Greenville",3.68421052631579,0.0207222222222222,11252
"215",2020-08-17,"Greenville",4.45833333333333,0.0222608695652174,11277
"216",2020-08-18,"Greenville",6.81818181818182,0.0266818181818182,11327
"217",2020-08-19,"Greenville",8.58333333333333,0.0187391304347826,11350
"218",2020-08-20,"Greenville",8.09090909090909,0.0197142857142857,11388
"219",2020-08-21,"Greenville",4.5,0.0234210526315789,11482
"220",2020-08-22,"Greenville",4.56521739130435,0.0207272727272727,11523
"221",2020-08-23,"Greenville",8.41176470588235,0.0239375,11574
"222",2020-08-24,"Greenville",7.61904761904762,0.0142,11620
"223",2020-08-25,"Greenville",5.94736842105263,0.0177777777777778,11804
"224",2020-08-26,"Greenville",7.79166666666667,0.0294347826086957,11835
"225",2020-08-27,"Greenville",11.5217391304348,0.0339545454545455,11851
"226",2020-08-28,"Greenville",13.4545454545455,0.0208636363636364,11962
"227",2020-08-29,"Greenville",7.60869565217391,0.019,12038
"228",2020-08-30,"Greenville",7.38888888888889,0.0256470588235294,12089
"229",2020-08-31,"Greenville",5.3,0.0328947368421053,12137
"230",2020-09-01,"Greenville",6.15789473684211,0.0246666666666667,12175
"231",2020-09-02,"Greenville",7.66666666666667,0.0215238095238095,12212
"232",2020-09-03,"Greenville",16.2608695652174,0.0283636363636364,12328
"233",2020-09-04,"Greenville",14,0.0362272727272727,12447
"234",2020-09-05,"Greenville",6.86363636363636,0.0281818181818182,12524
"235",2020-09-06,"Greenville",4,0.0339,12589
"236",2020-09-07,"Greenville",4.94736842105263,0.0256111111111111,12650
"237",2020-09-08,"Greenville",4.43478260869565,0.0234545454545455,12692
"238",2020-09-09,"Greenville",2.45454545454545,0.01575,12721
"239",2020-09-10,"Greenville",3.05,0.013,12727
"240",2020-09-11,"Greenville",4.47368421052632,0.01225,13016
"241",2020-09-12,"Greenville",5.26086956521739,0.0249545454545455,13115
"242",2020-09-13,"Greenville",6,0.0232380952380952,13231
"243",2020-09-14,"Greenville",4.36842105263158,0.0193333333333333,13328
"244",2020-09-15,"Greenville",6.52380952380952,0.0275238095238095,13398
"245",2020-09-16,"Greenville",4.71428571428571,0.02265,13449
"246",2020-09-17,"Greenville",2.47619047619048,0.02075,13558
"247",2020-09-18,"Greenville",2.09090909090909,0.0246818181818182,13634
"248",2020-09-19,"Greenville",7.6,0.0266190476190476,13710
"249",2020-09-20,"Greenville",2.65217391304348,0.0305,13751
"250",2020-09-21,"Greenville",3.30434782608696,0.0294545454545455,13786
"251",2020-09-22,"Greenville",3,0.0276111111111111,13859
"252",2020-09-23,"Greenville",4.81818181818182,0.0284545454545455,13957
"253",2020-09-24,"Greenville",9.5,0.0212272727272727,14076
"254",2020-09-25,"Greenville",11.1578947368421,0.018,14203
"255",2020-09-26,"Greenville",4.04166666666667,0.0243913043478261,14318
"256",2020-09-27,"Greenville",3.63636363636364,0.0173333333333333,14356
"257",2020-09-28,"Greenville",5.91304347826087,0.0176818181818182,14423
"258",2020-09-29,"Greenville",5.57894736842105,0.0215,14537
"259",2020-09-30,"Greenville",2.71428571428571,0.0251904761904762,14550
"260",2020-10-01,"Greenville",5.17391304347826,0.0229090909090909,14577
"261",2020-10-02,"Greenville",6.36363636363636,0.0300454545454545,14684
"262",2020-10-03,"Greenville",4.73913043478261,0.0223636363636364,14871
"263",2020-10-04,"Greenville",3.82608695652174,0.0266363636363636,14958
"264",2020-10-05,"Greenville",6.33333333333333,0.0254,15027
"265",2020-10-06,"Greenville",5.75,0.0258260869565217,15089
"266",2020-10-07,"Greenville",9.52173913043478,0.0295789473684211,15136
"267",2020-10-08,"Greenville",11.8333333333333,0.0394347826086957,15245
"268",2020-10-09,"Greenville",5.76190476190476,0.02975,15395
"269",2020-10-10,"Greenville",6.45833333333333,0.0286086956521739,15505
"270",2020-10-11,"Greenville",4.63157894736842,0.023,15605
"271",2020-10-12,"Greenville",7.63636363636364,0.0202727272727273,15693
"272",2020-10-13,"Greenville",4.52173913043478,0.0157727272727273,15780
"273",2020-10-14,"Greenville",4.22727272727273,0.0240454545454545,15846
"274",2020-10-15,"Greenville",5.61111111111111,0.0177058823529412,15994
"275",2020-10-16,"Greenville",4.9,0.0292380952380952,16184
"276",2020-10-17,"Greenville",3.125,0.0279565217391304,16289
"277",2020-10-18,"Greenville",3.78260869565217,0.0271363636363636,16384
